Principal|Nivel|Artículo|Descripción|Tipo|Estado|Planeador|Sec Artículo|Sec Op|UDM|Cantidad Unitaria|Cantidad Extendida|Tipo Suministro|Subinventario|Localizador|Tipo Costo|Costo Materiales|Costo Recurso|Gsto Grl|Costo Unitario|Costo Extendido|Accesorio S/N|Fecha inactivo|Alterno|Component_Yiel|Categoria Producto
22000008990|0|22000008990|SUPERFICIE PRINCIPAL INTERMEDIA UNICOR CON FORMICA 150X60X3CM LINK LKSU010010|AI|Active|||und|1|1|||...|CSTLPRECIO|0|0|0|0|0|||||
22000008990|1|22000158|TORNILLO CABEZA EXTRAPLANA 8 X 1 REF: 32Z NEGRO|MP|Active||60|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008990|1|25005228|PARTE-COMPLEMENTO LAMINA UNION SUPERFICIES MULTIPLE MAC390010|AI|Active||70|10|und|1|1|Proceso Tirar Operación|DOBLADORAS|DOB.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008990|2|22008319|LAMINA PLANA HR 4X8  ESPESOR 2.5MM|MP|Active||20|10|kg|.0283908|.0283908|Proceso Tirar Operación|CORTYPUNZ|CYP.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008990|1|25029858|CANTEADO-LINK SUPERFICIE PRINCIPAL INTERMEDIA FORMICA 150X60X3CM LKSU010010|AI|Active||180|10|und|1|1|Proceso Tirar Operación|CANTEADO|CNT.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008990|2|25031177|PRENSADO-LINK SUPERFICIE PRINCIPAL INTERMEDIA FORMICA 150X60X3CM LKSU010010|AI|Active||10|10|und|1|1|Proceso Tirar Operación|PRENSADO|PRE.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008990|3|22015818|UNICOR POLAR SIN BALANCE DE 1830X2440MM ESPESOR 30MM|MP|Active||10|10|und|.20692623|.20692623|Proceso Tirar Operación|CARPINT|AGL.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008990|3|22008689|GENERICO FORMICA 1220MM X 2440MM F8|MP|Active||20|10|und|.5|.5|Proceso Tirar Operación|CARPINT|FOR.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008990|2|22008524|GENERICO CANTO DE 35MM ESPESOR 2MM|MP|Active||20|10|m|4.56|4.56|Proceso Tirar Operación|CARPINT|CTA.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008990|1|22024088|PINTURA POLIESTER LTGIC GRANULADO BTC GRIS NOPAL (20001378) 33652 CAJA 25 KG - RAL 9004|MP|Active||190|10|kg|.0003|.0003|Proceso Tirar Operación|MP_WIP|PI.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008990|1|22001410|EMPAQUE COLUMNA X 8 UNIDADES|ME|Active||501|10|und|.05|.05|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008996|0|22000008996|LINK SUPERFICIE PRINCIPAL TERMINAL UNICOR CON FORMICA 150X60X3CM LKSU010030|AI|Active|||und|1|1|||...|CSTLPRECIO|0|0|0|0|0|||||
22000008996|1|22000158|TORNILLO CABEZA EXTRAPLANA 8 X 1 REF: 32Z NEGRO|MP|Active||60|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008996|1|25005228|PARTE-COMPLEMENTO LAMINA UNION SUPERFICIES MULTIPLE MAC390010|AI|Active||70|10|und|1|1|Proceso Tirar Operación|DOBLADORAS|DOB.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008996|2|22008319|LAMINA PLANA HR 4X8  ESPESOR 2.5MM|MP|Active||20|10|kg|.0283908|.0283908|Proceso Tirar Operación|CORTYPUNZ|CYP.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008996|1|25029864|CANTEADO-LINK SUPERFICIE PRINCIPAL TERMINAL FORMICA 150X60X3CM LKSU010030|AI|Active||180|10|und|1|1|Proceso Tirar Operación|CANTEADO|CNT.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008996|2|25031183|PRENSADO-LINK SUPERFICIE PRINCIPAL TERMINAL FORMICA 150X60X3CM LKSU010030|AI|Active||10|10|und|1|1|Proceso Tirar Operación|PRENSADO|PRE.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008996|3|22015818|UNICOR POLAR SIN BALANCE DE 1830X2440MM ESPESOR 30MM|MP|Active||10|10|und|.20692623|.20692623|Proceso Tirar Operación|CARPINT|AGL.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008996|3|22008689|GENERICO FORMICA 1220MM X 2440MM F8|MP|Active||20|10|und|.5|.5|Proceso Tirar Operación|CARPINT|FOR.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008996|2|22008524|GENERICO CANTO DE 35MM ESPESOR 2MM|MP|Active||20|10|m|4.61|4.61|Proceso Tirar Operación|CARPINT|CTA.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008996|1|22024088|PINTURA POLIESTER LTGIC GRANULADO BTC GRIS NOPAL (20001378) 33652 CAJA 25 KG - RAL 9004|MP|Active||190|10|kg|.0003|.0003|Proceso Tirar Operación|MP_WIP|PI.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000008996|1|22001410|EMPAQUE COLUMNA X 8 UNIDADES|ME|Active||200|10|und|.05|.05|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009774|0|22000009774|PANEL VIDRIO LATERAL PUERTA H MENOR IGUAL 318CM VETRO VTPN010000||Active|||und|1|1|||...|CSTLPRECIO|0|0|0|0|0|||||
22000009774|1|22005398|VIDRIO TRANSPARENTE TEMPLADO DE 10MM SOLO VETRO|MP|Active||10|10|m2|.9760692|.9760692|Proceso Tirar Operación|CARPINT|VID.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009774|1|22011781|KIT VETRO SIST. NIVELA. Y BLOQUEO PARED DE VIDRIO 10MM BLOCKING SYSTEM 10MM PART# I3303A0102|MP|Active||20|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009774|1|22011785|VETRO PLATINA NIVELADOR - PLATE FOR BLOKING SYSTEM PART# SI3304P0101 MPR080212|MP|Active||40|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009774|1|22005612|TORNILLO ALLEN M8 X 40|MP|Active||65|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009774|1|22005610|TORNILLO CABEZA HEXAGONAL M8 X 30|MP|Active||75|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009774|1|22005613|TUERCA M8 ZINCADA|MP|Active||85|10|und|4|4|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009774|1|22001402|EMPAQUE REPISA METALICA 2 UNIDADES|ME|Active||120|10|und|.1|.1|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009782|0|22000009782|PANEL VIDRIO ANCHO 75CM H MENOR IGUAL 318CM VETRO VTPN020000||Active|||und|1|1|||...|CSTLPRECIO|0|0|0|0|0|||||
22000009782|1|22005398|VIDRIO TRANSPARENTE TEMPLADO DE 10MM SOLO VETRO|MP|Active||10|10|m2|2.4499992|2.4499992|Proceso Tirar Operación|CARPINT|VID.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009782|1|22011781|KIT VETRO SIST. NIVELA. Y BLOQUEO PARED DE VIDRIO 10MM BLOCKING SYSTEM 10MM PART# I3303A0102|MP|Active||20|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009782|1|22011785|VETRO PLATINA NIVELADOR - PLATE FOR BLOKING SYSTEM PART# SI3304P0101 MPR080212|MP|Active||40|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009782|1|22005612|TORNILLO ALLEN M8 X 40|MP|Active||65|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009782|1|22005610|TORNILLO CABEZA HEXAGONAL M8 X 30|MP|Active||75|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009782|1|22005613|TUERCA M8 ZINCADA|MP|Active||85|10|und|4|4|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009782|1|22001402|EMPAQUE REPISA METALICA 2 UNIDADES|ME|Active||120|10|und|.1|.1|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009786|0|22000009786|PANEL VIDRIO ANCHO 90CM H MENOR IGUAL 318CM VETRO VTPN020000||Active|||und|1|1|||...|CSTLPRECIO|0|0|0|0|0|||||
22000009786|1|22005398|VIDRIO TRANSPARENTE TEMPLADO DE 10MM SOLO VETRO|MP|Active||10|10|m2|2.9413092|2.9413092|Proceso Tirar Operación|CARPINT|VID.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009786|1|22011781|KIT VETRO SIST. NIVELA. Y BLOQUEO PARED DE VIDRIO 10MM BLOCKING SYSTEM 10MM PART# I3303A0102|MP|Active||20|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
