Organización Inventario	Artículo	Descripción	Fecha de Creacion	Fecha de ultima actualizacion	Creado Por	Importado	Provisión Inventarios	NUMERADOS	En Custodia	Artículo Plan Vallejo	Cliente Producto	Flexfield12	flexfield13	Pricat Desc Larga	Pricat Desc Corta	Responsabilidad	Actualizado por	Atributo6	Crear En Wip	Suministro Tipo	Subinventario	WIP_SUPPLY_LOCATOR_ID	Localizador	Tipo Tolerancia	Valor Tolerancia	Arrastre Inventario	Retraso Operación
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000005	ESPUMA LAMINA 1000MM X 2000MM DENSIDAD 30 ESPESOR 5MM	1-ago-07	10-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación							
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000010	ESPUMA COJIN MOVIL 530.4MM X 417.4MM DENSIDAD 30 ESPESOR 30MM	1-ago-07	10-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación							
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000121	HILO NYLBOND 60T45 4500M COLOR REF S669060 60BVA MANGO ( NY2354 MANGO REF:N339-60)	1-ago-07	6-dic-24	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	JCUENCA048_CO		N	Proceso Tirar Operación							
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000122	HILO NYLBOND 60T45 4500M COLOR REF S669060  41BVA ANARANJADO ( NY0466 ANARANJO REF:N339-60)	1-ago-07	16-feb-25	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	JCUENCA048_CO		N	Proceso Tirar Operación							
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000123	HILO NYLBOND 60T45 4500M COLOR REF S669060 20BVA ROJO ( NY0047  ROJO REF:N339-60)	1-ago-07	6-dic-24	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	JCUENCA048_CO		N	Proceso Tirar Operación							
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000124	HILO NYLBOND 60T45 4500M COLOR REF S669060 25BVA AZUL NUBE ( NY0496 AZUL NUBE REF:N339-60)	1-ago-07	6-dic-24	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	JCUENCA048_CO		N	Proceso Tirar Operación							
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000126	HILO NYLBOND 60T45 4500M COLOR REF S669060 47BVA AZUL OSCURO ( NY0902 AZUL OSCURO REF:N339-60)	5-feb-08	16-feb-25	ETRUJILLO650_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	JCUENCA048_CO		N	Proceso Tirar Operación							
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000127	HILO NYLBOND 60T45 4500M COLOR REF S669060 44BVA VERDE LIMON ( NY0473 VERDE LIMON REF:N339-60)	1-ago-07	6-dic-24	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	JCUENCA048_CO		N	Proceso Tirar Operación							
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000129	HILO NYLBOND 60T45 4500M COLOR REF S669060 21BVA CAOBA( NY0070 CAOBA  REF:N339-60)	1-ago-07	6-dic-24	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	JCUENCA048_CO		N	Proceso Tirar Operación							
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000130	HILO NYLBOND 60T45 4500M COLOR REF S669060 31BVA HABANO ( NY0234 HABANO  REF:N339-60)	1-ago-07	16-feb-25	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	JCUENCA048_CO		N	Proceso Tirar Operación							
