total: 1
CVJ ZZ Reporte De Listas Indentadas
Listado De Parámetros
Organización de inventarios: M03 CARVAJAL ESPACIOS PLANTA PALMIRA
Artículo Desde             : 22000020547
Artículo Hasta             : 22000020547
Tipo De Costo              : CSTLPRECIO
Detalle (Si/No)            : Y
Archivo Consulta           : 
Número Artículos A Procesar: 1
 
Principal|Nivel|Artículo|Descripción|Tipo|Estado|Planeador|Sec Artículo|Sec Op|UDM|Cantidad Unitaria|Cantidad Extendida|Tipo Suministro|Subinventario|Localizador|Tipo Costo|Costo Materiales|Costo Recurso|Gsto Grl|Costo Unitario|Costo Extendido|Accesorio S/N|Fecha inactivo|Alterno|Component_Yiel|Categoria Producto
22000020547|0|22000020547|PEDESTAL FIJO RIEL EXTENSION PARCIAL 2 GAVETAS 1 ARCHIVO FRENTE METALICO MANIJA EMBEBIDA 71X40X50CM ALMACENAMIENTO ALM1000000|AI|Active|P-PRODTER|||und|1|1|||...|CSTLPRECIO|160592.029|223498.904|31960.341|416051.274|416051.274|||||MUEBLES.SISTEMAS MODULARES DE OFICINA.ALMACENAMIENTO.PEDESTAL.N/A
22000020547|1|22012018|MARQUILLA LOGOTIPO MEPAL ALUMINIO PULIDO MPR030283|MP|Active|PLAN IMPO|5|10|und|1|1|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|2944|0|0|2944|2944||||1|MATERIA PRIMA.ACCESORIOS.METALICOS.N/A.N/A
22000020547|1|22008868|CORREDERA SPAR 45cm NEGRO S/T CS45/N  HRS120-45|MP|Active|PLAN ACCE|40|10|jg|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|5949|0|0|5949|11898||||1|MATERIA PRIMA.ACCESORIOS.METALICOS.N/A.N/A
22000020547|1|22007935|RIEL REPON BAYONETA  45CM 75LB HRE126-45|MP|Active|PLAN ACCE|50|10|jg|1|1|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|8696|0|0|8696|8696||||1|MATERIA PRIMA.ACCESORIOS.METALICOS.N/A.N/A
22000020547|1|22000212|TORNILLO AUTOROSCANTE 6 3/8 ZINCADO|MP|Active|PLAN TORNT|60|10|und|18|18|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|21|0|0|21|378||||1|MATERIA PRIMA.ACCESORIOS.TUERCAS Y TORNILLOS.N/A.N/A
22000020547|1|22000197|TORNILLO CABEZA EXTRAPLANA 8 X 3/4 REF: S6075 ZINCADO|MP|Active|PLAN TORNT|70|10|und|4|4|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|39|0|0|39|156||||1|MATERIA PRIMA.ACCESORIOS.TUERCAS Y TORNILLOS.N/A.N/A
22000020547|1|23703614|BULON PLASTICO DIAM.8.5X11.5MM MPR050124|MP|Active|PLAN PLACT|80|10|und|3|3|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|232|0|0|232|696||||1|MATERIA PRIMA.ACCESORIOS.METALICOS.ENSAMBLE.N/A
22000020547|1|22000248|TORNILLO DE 6 X 5/8 CCPH PRIVILEGIO ZN|MP|Active|PLAN TORNT|90|10|und|3|3|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|21|0|0|21|63||||1|MATERIA PRIMA.ACCESORIOS.TUERCAS Y TORNILLOS.N/A.N/A
22000020547|1|22015000|TUERCA REMACHABLE 5/16 SEMI HEXAGONAL CABEZA BAJA REF:3002056|MP|Active|PLAN TORNT|100|10|und|4|4|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|348|0|0|348|1392||||1|MATERIA PRIMA.ACCESORIOS.TUERCAS Y TORNILLOS.N/A.N/A
22000020547|1|22014799|REMACHE AVELLANADO 5-4 NATURAL|MP|Active|PLAN TORNT|110|10|und|33|33|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|64|0|0|64|2112||||1|MATERIA PRIMA.ACCESORIOS.FERRETERIA.ENSAMBLE.N/A
22000020547|1|22000569|ANILLO CERRADURA BZ-300 BEZEL BLACK|MP|Active|PLAN IMPO|140|10|und|1|1|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|2395|0|0|2395|2395||||1|MATERIA PRIMA.ACCESORIOS.METALICOS.N/A.N/A
22000020547|1|22000568|CERRADURA LP-300 LOCK PLUG BLACK 100T-599T 10 EACH|MP|Active|PLAN IMPO|150|10|und|1|1|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|9281|0|0|9281|9281||||1|MATERIA PRIMA.ACCESORIOS.IMPORTADOS.N/A.N/A
